_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject
166,222/19,Email,2019-11-21 00:00:00,No Response,2019-12-25 09:15:00,המשרד לביטחון הפנים,2019-12-30 08:32:27,Justified,4,Treatment Completed,,
167,223/19,Email,2019-11-25 00:00:00,No Response,2019-12-30 08:36:00,נציבות שירות המדינה,2020-01-05 14:19:11,Justified,6,Treatment Completed,,
168,1/20,Email,2019-12-02 00:00:00,No Response,2020-01-05 08:42:00,רשות התחרות,2020-02-03 11:22:57,Unjustified,29,Treatment Completed,,
169,2/20,Email,2019-11-29 00:00:00,No Response,2020-01-05 09:19:00,משטרת ישראל,2020-02-19 09:48:40,Justified,45,Treatment Completed,,
170,3/20,Online Form,2019-07-23 00:00:00,No Response,2020-01-07 00:00:00,משטרת ישראל,2020-02-03 11:40:21,Justified,27,Treatment Completed,,
171,5/20,Online Form,2019-12-05 00:00:00,No Response,2020-01-07 00:00:00,משרד הפנים,2020-05-21 10:32:07,Justified,135,Treatment Completed,,
172,4/20,Online Form,2019-07-23 00:00:00,No Response,2020-01-07 00:00:00,משטרת ישראל,2020-01-08 09:07:03,Treatment Discontinued,1,Treatment Completed,,
173,6/20,Email,2019-11-30 00:00:00,No Response,2020-01-08 10:04:00,משטרת ישראל,2020-02-19 10:01:53,Justified,41,Treatment Completed,,
174,7/20,Email,2019-11-06 00:00:00,No Response,2020-01-12 08:02:00,המשרד להגנת הסביבה,2020-01-13 14:27:26,Treatment Discontinued,1,Treatment Completed,,
175,9/20,Online Form,2019-12-02 00:00:00,Unknown,2020-01-13 00:00:00,משרד האוצר,2020-01-14 09:50:14,Treatment Discontinued,1,Treatment Completed,,
176,10/20,Email,2019-12-07 00:00:00,No Response,2020-01-13 15:19:00,משטרת ישראל,2020-02-19 10:09:11,Justified,36,Treatment Completed,,
177,11/20,Email,2019-12-09 00:00:00,No Response,2020-01-13 15:43:00,משטרת ישראל,2020-02-19 10:13:13,Justified,36,Treatment Completed,,
178,12/20,Online Form,2019-12-02 00:00:00,Lack of Justification,2020-01-14 00:00:00,משרד האוצר,2020-01-14 09:44:53,Treatment Discontinued,0,Treatment Completed,,
179,16/20,Online Form,2019-12-15 00:00:00,No Response,2020-01-15 00:00:00,משרד החינוך,2020-01-26 10:18:13,Justified,11,Treatment Completed,,
180,19/20,Online Form,2019-11-25 00:00:00,No Response,2020-01-15 00:00:00,רשות שוק ההון הביטוח והחיסכון,2020-01-30 11:56:17,Justified,15,Treatment Completed,,
181,18/20,Online Form,2019-11-10 00:00:00,No Response,2020-01-15 00:00:00,צהל,2020-02-26 12:03:11,Justified,42,Treatment Completed,,
182,20/20,Online Form,2020-01-01 00:00:00,Fees,2020-01-15 00:00:00,משרד הפנים,2020-01-21 11:22:34,Unjustified,6,Treatment Completed,,
183,13/20,Email,2019-11-27 00:00:00,No Response,2020-01-15 09:30:00,משרד החינוך,2020-02-09 12:02:16,Unjustified,25,Treatment Completed,,
184,14/20,Email,2019-10-16 00:00:00,No Response,2020-01-15 10:25:00,צהל,2020-02-10 13:12:36,Justified,26,Treatment Completed,,
185,15/20,Email,2019-12-10 00:00:00,No Response,2020-01-15 10:55:00,משרד הפנים,2020-05-12 10:11:28,Justified,117,Treatment Completed,,
186,17/20,Email,2019-10-20 00:00:00,No Response,2020-01-15 14:51:00,משרד הבריאות,2020-03-05 13:14:32,Treatment Discontinued,49,Treatment Completed,,
187,21/20,Email,2019-10-03 00:00:00,No Response,2020-01-19 07:51:00,משרד החקלאות ופיתוח הכפר,2020-02-09 10:41:08,Justified,21,Treatment Completed,,
188,22/20,Online Form,2019-11-17 00:00:00,No Response,2020-01-21 00:00:00,צהל,2020-06-01 11:32:15,Justified,132,Treatment Completed,,
189,23/20,Online Form,2019-12-02 00:00:00,No Response,2020-01-21 00:00:00,רשות התחרות,2020-01-22 10:39:12,Treatment Discontinued,1,Treatment Completed,,
190,24/20,Email,2019-08-15 00:00:00,No Response,2020-01-26 16:00:00,משטרת ישראל,2020-05-27 08:54:13,Justified,121,Treatment Completed,,
191,25/20,Email,2019-11-18 00:00:00,No Response,2020-01-27 14:39:00,משטרת ישראל,2020-02-19 10:16:57,Justified,22,Treatment Completed,,
192,27/20,Online Form,2020-01-01 00:00:00,No Response,2020-02-02 00:00:00,רשות האוכלוסין וההגירה,2020-02-17 11:48:45,Unjustified,15,Treatment Completed,,
193,28/20,Online Form,2020-02-04 00:00:00,Lack of Justification,2020-02-04 00:00:00,מרכז רפואי פוריה,2020-02-04 11:12:59,Treatment Discontinued,0,Treatment Completed,,
194,29/20,Online Form,2019-12-09 00:00:00,No Response,2020-02-04 00:00:00,בית חולים וולפסון,2020-02-06 08:41:28,Treatment Discontinued,2,Treatment Completed,,
195,30/20,Online Form,2020-02-04 00:00:00,Fees,2020-02-04 00:00:00,בית חולים איכילוב,2020-02-06 08:42:46,Treatment Discontinued,2,Treatment Completed,,
196,31/20,Online Form,2020-02-04 00:00:00,Unknown,2020-02-04 00:00:00,בית חולים איכילוב,2020-02-06 08:44:13,Treatment Discontinued,2,Treatment Completed,,
197,32/20,Online Form,2019-06-02 00:00:00,Unknown,2020-02-05 00:00:00,המשרד להגנת הסביבה,2020-07-29 10:00:15,Partially Justified,175,Treatment Completed,,
198,33/20,Online Form,2019-05-30 00:00:00,No Response,2020-02-06 00:00:00,משרד החקלאות ופיתוח הכפר,2020-06-08 09:05:31,Justified,123,Treatment Completed,,
199,35/20,Online Form,2019-11-24 00:00:00,No Response,2020-02-10 00:00:00,המשרד לביטחון הפנים,2020-03-05 10:11:56,Justified,24,Treatment Completed,,
200,37/20,Online Form,2019-12-02 00:00:00,No Response,2020-02-10 00:00:00,משרד האוצר,2020-03-11 10:28:22,Justified,30,Treatment Completed,,
201,36/20,Email,2020-01-06 00:00:00,No Response,2020-02-10 13:53:00,משטרת ישראל,2020-02-20 12:28:58,Treatment Discontinued,9,Treatment Completed,,
202,39/20,Online Form,2019-12-19 00:00:00,No Response,2020-02-12 00:00:00,בית חולים איכילוב,2020-05-24 11:42:55,Justified,102,Treatment Completed,,
203,40/20,Online Form,2019-12-15 00:00:00,No Response,2020-02-14 00:00:00,רשות שוק ההון הביטוח והחיסכון,2020-02-26 12:20:19,Justified,12,Treatment Completed,,
204,42/20,Online Form,2019-09-17 00:00:00,No Response,2020-02-20 00:00:00,משרד האוצר,2020-03-11 15:47:42,Justified,20,Treatment Completed,,
205,44/20,Online Form,2018-04-16 00:00:00,No Response,2020-02-23 00:00:00,המשרד להגנת הסביבה,2020-07-09 10:40:55,Justified,137,Treatment Completed,,
206,45/20,Email,2020-01-01 00:00:00,Fees,2020-02-24 08:22:00,משרד הפנים,2020-06-16 16:42:11,Treatment Discontinued,113,Treatment Completed,,
207,46/20,Email,2019-11-18 00:00:00,No Response,2020-02-24 09:33:00,משטרת ישראל,2020-02-26 10:09:38,Unjustified,2,Treatment Completed,,
208,47/20,Online Form,2019-01-04 00:00:00,No Response,2020-02-25 00:00:00,משרד האוצר,2020-08-02 09:23:15,Justified,159,Treatment Completed,,
209,49/20,Online Form,2019-07-23 00:00:00,No Response,2020-02-26 00:00:00,משטרת ישראל,2020-03-09 12:13:01,Treatment Discontinued,12,Treatment Completed,,
210,48/20,Online Form,2019-11-11 00:00:00,No Response,2020-02-26 00:00:00,שירות בתי הסוהר,2020-05-11 11:17:57,Unjustified,75,Treatment Completed,,
211,50/20,Online Form,2020-01-26 00:00:00,No Response,2020-02-27 00:00:00,משרד החינוך,2020-05-11 12:10:33,Justified,74,Treatment Completed,,
212,55/20,Online Form,2020-01-31 00:00:00,No Response,2020-03-03 00:00:00,משרד הבריאות,2020-08-18 11:56:11,Justified,168,Treatment Completed,,
213,54/20,Online Form,2020-01-30 00:00:00,No Response,2020-03-03 00:00:00,משרד המשפטים,2020-03-05 12:08:03,Unjustified,2,Treatment Completed,,
214,56/20,Online Form,2019-12-02 00:00:00,Administrative Guidelines,2020-03-03 00:00:00,רשות התחרות,2020-05-20 10:33:56,Unjustified,78,Treatment Completed,,
215,57/20,Online Form,2019-08-18 00:00:00,No Response,2020-03-04 00:00:00,צהל,2020-08-05 07:53:29,Justified,154,Treatment Completed,,
216,59/20,Email,2019-12-08 00:00:00,No Response,2020-03-05 12:11:00,משטרת ישראל,2020-05-27 09:03:39,Unjustified,82,Treatment Completed,,
217,61/20,Email,2019-10-23 00:00:00,No Response,2020-03-05 16:22:00,מנהל אזרחי אזור יהודה ושומרון,2020-05-10 11:08:22,Justified,65,Treatment Completed,,
218,62/20,Online Form,2018-12-24 00:00:00,No Response,2020-03-07 00:00:00,המשרד להגנת הסביבה,2020-08-18 12:10:38,Justified,164,Treatment Completed,,
219,64/20,Email,2020-01-28 00:00:00,No Response,2020-03-09 07:26:00,האפוטרופוס הכללי והכונס הרשמי,2020-06-07 13:58:04,Justified,90,Treatment Completed,,
220,67/20,Online Form,2019-01-15 00:00:00,No Response,2020-03-24 00:00:00,צבא הגנה לישראל,2020-05-05 07:52:05,Treatment Discontinued,42,Treatment Completed,,
221,66/20,Online Form,2019-01-15 00:00:00,No Response,2020-03-24 00:00:00,צבא הגנה לישראל,2020-05-07 10:29:04,Treatment Discontinued,44,Treatment Completed,,
222,69/20,Online Form,2020-01-01 00:00:00,No Response,2020-03-25 00:00:00,משרד החקלאות ופיתוח הכפר,2020-06-08 08:49:05,Justified,75,Treatment Completed,,
223,79/20,Email,2019-11-03 00:00:00,No Response,2020-05-06 09:59:00,מתאם פעולות הממשלה בשטחים מתפש,2020-07-09 11:36:07,Justified,64,Treatment Completed,,
224,80/20,Email,2019-12-05 00:00:00,No Response,2020-05-07 10:52:00,הרבנות הראשית לישראל,2020-05-20 12:41:05,Unjustified,13,Treatment Completed,,
225,81/20,Email,2020-04-05 00:00:00,No Response,2020-05-07 11:16:00,משרד האוצר,2020-08-11 11:28:25,Justified,96,Treatment Completed,,
226,82/20,Online Form,2019-12-17 00:00:00,No Response,2020-05-08 00:00:00,המשרד להגנת הסביבה,2020-06-08 08:53:11,Justified,31,Treatment Completed,,
227,83/20,Email,2020-04-16 00:00:00,No Response,2020-05-10 12:24:00,משרד הבריאות,2020-05-12 10:25:37,Justified,1,Treatment Completed,,
228,87/20,Online Form,2020-02-06 00:00:00,No Response,2020-05-13 00:00:00,נציבות שירות המדינה,2020-11-25 09:40:41,Justified,196,Treatment Completed,,
229,86/20,Online Form,2020-01-15 00:00:00,No Response,2020-05-13 00:00:00,משרד הפנים,2020-07-01 13:49:20,Justified,49,Treatment Completed,,
230,85/20,Online Form,2020-02-24 00:00:00,No Response,2020-05-13 00:00:00,המשרד להגנת הסביבה,2020-05-26 10:40:59,Unjustified,13,Treatment Completed,,
231,88/20,Email,2019-08-02 00:00:00,Lack of Justification,2020-05-17 00:00:00,משרד המשפטים,2020-07-06 14:12:40,Justified,50,Treatment Completed,,
232,89/20,Email,2020-03-17 00:00:00,No Response,2020-05-20 11:43:00,צהל,2020-08-20 10:05:11,Justified,91,Treatment Completed,,
233,90/20,Online Form,2019-12-01 00:00:00,No Response,2020-05-21 00:00:00,צהל,2020-08-27 09:13:25,Justified,98,Treatment Completed,,
234,91/20,Online Form,2020-02-10 00:00:00,No Response,2020-05-26 00:00:00,משרד ראש הממשלה,2020-07-06 09:41:31,Justified,41,Treatment Completed,,
235,92/20,Online Form,2020-01-14 00:00:00,No Response,2020-06-01 00:00:00,משרד הבריאות,2021-04-22 10:12:04,Justified,325,Treatment Completed,,
236,94/20,Online Form,2020-05-27 00:00:00,No Response,2020-06-02 00:00:00,משרד הבינוי והשיכון,2020-06-09 10:43:24,Unjustified,7,Treatment Completed,,
237,93/20,Email,2020-02-10 00:00:00,No Response,2020-06-02 09:09:00,צהל,2020-07-16 09:13:06,Justified,44,Treatment Completed,,
238,95/20,Online Form,2019-08-28 00:00:00,No Response,2020-06-03 00:00:00,המשרד לשירותי דת,2020-06-21 13:36:30,Unjustified,18,Treatment Completed,,
239,96/20,Online Form,2020-05-06 00:00:00,No Response,2020-06-06 00:00:00,צהל,2020-06-07 15:58:23,Treatment Discontinued,1,Treatment Completed,,
240,97/20,Online Form,2020-03-08 00:00:00,No Response,2020-06-07 00:00:00,משטרת ישראל,2020-06-25 09:10:25,Unjustified,18,Treatment Completed,,
241,98/20,Online Form,2019-11-04 00:00:00,No Response,2020-06-10 00:00:00,המשרד להגנת הסביבה,2020-09-21 14:51:12,Justified,103,Treatment Completed,,
242,99/20,Online Form,2020-03-10 00:00:00,No Response,2020-06-11 00:00:00,משרד הפנים,2020-06-21 13:14:44,Unjustified,10,Treatment Completed,,
243,100/20,Online Form,2020-03-24 00:00:00,No Response,2020-06-15 00:00:00,משרד החקלאות ופיתוח הכפר,2020-06-24 09:16:54,Justified,9,Treatment Completed,,
244,102/20,Email,2020-03-07 00:00:00,No Response,2020-06-18 08:58:00,משרד הביטחון,2020-07-08 11:46:11,Justified,20,Treatment Completed,,
245,105/20,Online Form,2020-05-15 00:00:00,No Response,2020-06-21 00:00:00,משרד הבריאות,2020-06-25 09:16:46,Justified,4,Treatment Completed,,
246,106/20,Online Form,2019-12-09 00:00:00,No Response,2020-06-21 00:00:00,משרד התחבורה והבטיחות בדרכים,2020-07-02 13:00:05,Justified,11,Treatment Completed,,
247,107/20,Online Form,2020-05-15 00:00:00,No Response,2020-06-22 00:00:00,משטרת ישראל,2020-06-28 13:09:19,Unjustified,6,Treatment Completed,,
248,109/20,Online Form,2020-05-12 00:00:00,No Response,2020-06-23 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2020-07-29 12:31:50,Justified,36,Treatment Completed,,
249,111/20,Online Form,2020-05-26 00:00:00,No Response,2020-06-29 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2020-07-09 10:01:03,Unjustified,10,Treatment Completed,,
250,112/20,Email,2020-03-16 00:00:00,No Response,2020-06-29 13:04:00,משרד החקלאות ופיתוח הכפר,2020-07-16 09:19:54,Unjustified,16,Treatment Completed,,
251,114/20,Online Form,2019-10-31 00:00:00,No Response,2020-07-01 00:00:00,משרד ראש הממשלה,2020-09-01 18:42:06,Treatment Discontinued,62,Treatment Completed,,
252,117/20,Online Form,2020-02-09 00:00:00,No Response,2020-07-06 00:00:00,משרד התיירות,2020-07-22 11:00:46,Partially Justified,16,Treatment Completed,,
253,121/20,Online Form,2020-06-22 00:00:00,No Response,2020-07-12 00:00:00,משרד החינוך,2020-08-10 11:09:38,Justified,29,Treatment Completed,,
254,122/20,Email,2020-01-14 00:00:00,No Response,2020-07-13 09:22:00,צהל,2020-08-03 09:58:04,Justified,21,Treatment Completed,,
255,124/20,Online Form,2020-06-12 00:00:00,No Response,2020-07-19 00:00:00,משטרת ישראל,2020-07-20 08:43:37,Unjustified,1,Treatment Completed,,
256,126/20,Online Form,2020-07-20 00:00:00,Fees,2020-07-20 00:00:00,משרד התיירות,2020-07-28 13:33:56,Justified,8,Treatment Completed,,
257,127/20,Online Form,2020-03-29 00:00:00,No Response,2020-07-20 00:00:00,משרד החינוך,2020-10-29 08:33:14,Justified,101,Treatment Completed,,
258,130/20,Online Form,2020-01-19 00:00:00,No Response,2020-07-22 00:00:00,משרד הפנים,2020-08-10 09:57:23,Justified,19,Treatment Completed,,
259,131/20,Online Form,2020-05-10 00:00:00,Lack of Justification,2020-07-26 00:00:00,משרד המשפטים,2020-11-05 12:15:40,Justified,102,Treatment Completed,,
260,132/20,Online Form,2020-07-27 00:00:00,Lack of Justification,2020-07-27 00:00:00,משרד התיירות,2020-08-04 14:38:09,Unjustified,8,Treatment Completed,,
261,134/20,Online Form,2020-05-07 00:00:00,Lack of Justification,2020-07-27 00:00:00,רשות מקרקעי ישראל,2020-09-07 12:53:41,Unjustified,42,Treatment Completed,,
262,141/20,Online Form,2020-04-23 00:00:00,No Response,2020-07-28 00:00:00,צבא הגנה לישראל,2020-12-03 13:47:01,Justified,128,Treatment Completed,,
263,156/20,Email,2020-06-02 00:00:00,No Response,2020-08-02 00:00:00,משרד התחבורה והבטיחות בדרכים,2020-10-26 10:58:27,Justified,85,Treatment Completed,,
264,143/20,Online Form,2020-03-18 00:00:00,No Response,2020-08-02 00:00:00,המשרד להגנת הסביבה,2021-07-12 10:31:29,Justified,344,Treatment Completed,,
265,146/20,Email,2020-04-21 00:00:00,No Response,2020-08-03 10:07:00,משרד הבריאות,2020-09-16 10:28:54,Justified,44,Treatment Completed,,
266,151/20,Online Form,2020-07-04 00:00:00,No Response,2020-08-06 00:00:00,משטרת ישראל,2020-09-16 10:38:26,Unjustified,41,Treatment Completed,,
267,158/20,Online Form,2020-01-28 00:00:00,No Response,2020-08-12 00:00:00,המשרד להגנת הסביבה,2020-09-07 15:22:13,Unjustified,26,Treatment Completed,,
268,157/20,Online Form,2020-03-23 00:00:00,No Response,2020-08-12 00:00:00,משרד התחבורה והבטיחות בדרכים,2020-09-22 11:51:01,Unjustified,41,Treatment Completed,,
269,167/20,Email,2020-03-26 00:00:00,No Response,2020-08-13 00:00:00,משרדי ממשלה שונים בתלונות רוחביות,2020-10-29 15:17:47,Treatment Discontinued,77,Treatment Completed,,
270,162/20,Online Form,2020-07-07 00:00:00,No Response,2020-08-13 00:00:00,המשרד להגנת הסביבה,2020-08-27 09:20:54,Unjustified,14,Treatment Completed,,
271,159/20,Email,2020-01-07 00:00:00,No Response,2020-08-13 07:28:00,משרד האוצר,2021-04-07 12:58:25,Justified,237,Treatment Completed,,
272,160/20,Email,2018-08-12 00:00:00,No Response,2020-08-13 07:32:00,משרד ראש הממשלה,2021-04-07 13:15:11,Justified,237,Treatment Completed,,
273,161/20,Email,2019-01-30 00:00:00,No Response,2020-08-13 07:37:00,משרד ראש הממשלה,2021-04-07 13:19:23,Justified,237,Treatment Completed,,
274,165/20,Online Form,2020-05-21 00:00:00,No Response,2020-08-16 00:00:00,משרד התחבורה והבטיחות בדרכים,2020-10-18 14:50:52,Justified,63,Treatment Completed,,
275,169/20,Online Form,2019-09-18 00:00:00,No Response,2020-08-20 00:00:00,משרד התפוצות,2020-10-14 11:35:09,Justified,55,Treatment Completed,,
276,170/20,Online Form,2020-07-01 00:00:00,No Response,2020-08-20 00:00:00,משטרת ישראל,2020-08-27 09:30:56,Unjustified,7,Treatment Completed,,
277,171/20,Online Form,2020-02-25 00:00:00,No Response,2020-08-23 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2020-10-20 10:34:20,Partially Justified,58,Treatment Completed,,
278,172/20,Online Form,2020-02-09 00:00:00,No Response,2020-08-23 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2020-08-31 14:33:41,Justified,8,Treatment Completed,,
