_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject,Complaint Receipt Year,Complaint Receipt Month,Initial Response Days,Justified
132,183/19,Email,2019-04-30 00:00:00,No Response,2019-10-02 00:00:00,משרד הבריאות,2019-12-02 10:37:55,Justified,61.0,Treatment Completed,Unspecified,Unspecified,2019,10,155,1
133,182/19,Email,2019-06-17 00:00:00,No Response,2019-10-02 00:00:00,צבא הגנה לישראל,2020-01-13 14:14:11,Justified,103.0,Treatment Completed,Unspecified,Unspecified,2019,10,107,1
134,184/19,Email,2019-07-25 00:00:00,No Response,2019-10-03 12:57:00,משרד החינוך,2019-10-31 08:07:01,Justified,27.0,Treatment Completed,Unspecified,Unspecified,2019,10,70,1
135,185/19,Email,2019-04-15 00:00:00,No Response,2019-10-03 13:40:00,משטרת ישראל,2019-11-20 08:58:51,Justified,47.0,Treatment Completed,Unspecified,Unspecified,2019,10,171,1
136,186/19,Email,2019-07-21 00:00:00,No Response,2019-10-07 00:00:00,משרד החינוך,2019-10-29 11:46:04,Justified,22.0,Treatment Completed,Unspecified,Unspecified,2019,10,78,1
137,187/19,Online Form,2019-08-31 00:00:00,No Response,2019-10-17 00:00:00,משרד הפנים,2019-12-25 09:20:07,Justified,69.0,Treatment Completed,Unspecified,Unspecified,2019,10,47,1
138,188/19,Email,2019-08-22 00:00:00,No Response,2019-10-22 08:58:00,רשות המים והביוב,2019-12-18 08:36:22,Justified,56.0,Treatment Completed,Unspecified,Unspecified,2019,10,61,1
139,191/19,Online Form,2019-10-23 00:00:00,Administrative Guidelines,2019-10-23 00:00:00,המשרד להגנת הסביבה,2019-10-24 09:33:08,Unjustified,1.0,Treatment Completed,Unspecified,Unspecified,2019,10,0,0
140,189/19,Online Form,2019-08-20 00:00:00,No Response,2019-10-23 00:00:00,רשות מקרקעי ישראל,2019-12-10 09:52:42,Unjustified,48.0,Treatment Completed,Unspecified,Unspecified,2019,10,64,0
141,190/19,Online Form,2019-08-20 00:00:00,No Response,2019-10-23 00:00:00,משרד הבינוי והשיכון,2020-01-09 14:44:44,Unjustified,78.0,Treatment Completed,Unspecified,Unspecified,2019,10,64,0
142,193/19,Online Form,2019-08-28 00:00:00,No Response,2019-11-06 00:00:00,משרד החינוך,2019-12-16 13:42:53,Unjustified,40.0,Treatment Completed,Unspecified,Unspecified,2019,11,70,0
143,192/19,Email,2019-07-05 00:00:00,No Response,2019-11-06 10:48:00,משרד ראש הממשלה,2019-12-09 10:06:23,Unjustified,32.0,Treatment Completed,Unspecified,Unspecified,2019,11,124,0
144,194/19,Email,2019-09-03 00:00:00,No Response,2019-11-07 09:14:00,משרד החינוך,2019-11-17 10:37:37,Unjustified,10.0,Treatment Completed,Unspecified,Unspecified,2019,11,65,0
145,196/19,Online Form,2019-06-11 00:00:00,No Response,2019-11-10 00:00:00,משרד הבריאות,2020-02-06 12:50:18,Justified,88.0,Treatment Completed,Unspecified,Unspecified,2019,11,152,1
146,198/19,Email,2019-08-12 00:00:00,No Response,2019-11-11 00:00:00,משטרת ישראל,2019-11-21 12:20:43,Justified,10.0,Treatment Completed,Unspecified,Unspecified,2019,11,91,1
147,197/19,Online Form,2019-10-27 00:00:00,No Response,2019-11-11 00:00:00,משרד החינוך,2019-12-25 09:39:40,Justified,44.0,Treatment Completed,Unspecified,Unspecified,2019,11,15,1
148,202/19,Online Form,2019-07-25 00:00:00,No Response,2019-11-13 00:00:00,משרד הבריאות,2020-02-10 13:04:48,Justified,89.0,Treatment Completed,Unspecified,Unspecified,2019,11,111,1
149,199/19,Online Form,2019-02-05 00:00:00,No Response,2019-11-13 00:00:00,משרד הבריאות,2020-01-05 11:40:01,Justified,53.0,Treatment Completed,Unspecified,Unspecified,2019,11,281,1
150,200/19,Email,2019-05-13 00:00:00,No Response,2019-11-13 13:17:00,משרד החקלאות ופיתוח הכפר,2019-12-15 11:48:55,Justified,31.0,Treatment Completed,Unspecified,Unspecified,2019,11,184,1
151,201/19,Email,2019-09-09 00:00:00,No Response,2019-11-13 14:16:00,משרד הרווחה והשירותים החברתיים,2020-02-02 13:09:36,Justified,80.0,Treatment Completed,Unspecified,Unspecified,2019,11,65,1
152,203/19,Email,2019-10-13 00:00:00,No Response,2019-11-14 10:43:00,משרד התקשורת,2019-11-14 12:47:20,Treatment Discontinued,0.0,Treatment Completed,Unspecified,Unspecified,2019,11,32,0
153,205/19,Email,2019-08-13 00:00:00,No Response,2019-11-17 00:00:00,משרד הבריאות,2019-12-17 08:10:53,Justified,30.0,Treatment Completed,Unspecified,Unspecified,2019,11,96,1
154,206/19,Email,2019-07-22 00:00:00,No Response,2019-11-21 10:12:00,משרד הבריאות,2019-12-23 13:34:00,Treatment Discontinued,32.0,Treatment Completed,Unspecified,Unspecified,2019,11,122,0
155,207/19,Email,2019-05-21 00:00:00,No Response,2019-11-22 00:00:00,משרד העלייה והקליטה,2019-12-01 11:47:18,Treatment Discontinued,9.0,Treatment Completed,Unspecified,Unspecified,2019,11,185,0
156,208/19,Email,2019-05-21 00:00:00,No Response,2019-11-22 00:00:00,משרד ראש הממשלה,2019-12-01 11:43:56,Treatment Discontinued,9.0,Treatment Completed,Unspecified,Unspecified,2019,11,185,0
157,209/19,Email,2019-11-19 00:00:00,No Response,2019-12-01 15:13:00,מנהל אזרחי אזור יהודה ושומרון,2020-03-11 12:48:21,Justified,100.0,Treatment Completed,Unspecified,Unspecified,2019,12,12,1
158,210/19,Email,2019-10-10 00:00:00,No Response,2019-12-01 15:52:00,המשרד להגנת הסביבה,2020-01-05 10:44:13,Justified,34.0,Treatment Completed,Unspecified,Unspecified,2019,12,52,1
159,211/19,Online Form,2019-08-01 00:00:00,No Response,2019-12-03 00:00:00,נציבות שירות המדינה,2019-12-30 14:28:18,Justified,27.0,Treatment Completed,Unspecified,Unspecified,2019,12,124,1
160,216/19,Online Form,2019-10-28 00:00:00,No Response,2019-12-11 00:00:00,משרד הבריאות,2019-12-30 07:58:49,Unjustified,19.0,Treatment Completed,Unspecified,Unspecified,2019,12,44,0
161,217/19,Email,2019-10-06 00:00:00,No Response,2019-12-12 09:38:00,האפוטרופוס הכללי והכונס הרשמי,2020-02-17 11:58:00,Justified,67.0,Treatment Completed,Unspecified,Unspecified,2019,12,67,1
162,218/19,Email,2019-11-26 00:00:00,Lack of Justification,2019-12-12 10:21:00,משרד הפנים,2020-03-03 11:17:16,Justified,82.0,Treatment Completed,Unspecified,Unspecified,2019,12,16,1
163,219/19,Email,2019-10-24 00:00:00,No Response,2019-12-18 09:03:00,מנהל אזרחי אזור יהודה ושומרון,2020-03-03 13:40:20,Justified,76.0,Treatment Completed,Unspecified,Unspecified,2019,12,55,1
164,220/19,Email,2019-02-11 00:00:00,No Response,2019-12-25 08:06:00,המשרד להגנת הסביבה,2020-01-30 15:04:57,Treatment Discontinued,36.0,Treatment Completed,Unspecified,Unspecified,2019,12,317,0
165,221/19,Email,2019-11-19 00:00:00,No Response,2019-12-25 09:06:00,המשרד לביטחון הפנים,2020-01-12 08:42:39,Justified,17.0,Treatment Completed,Unspecified,Unspecified,2019,12,36,1
166,222/19,Email,2019-11-21 00:00:00,No Response,2019-12-25 09:15:00,המשרד לביטחון הפנים,2019-12-30 08:32:27,Justified,4.0,Treatment Completed,Unspecified,Unspecified,2019,12,34,1
167,223/19,Email,2019-11-25 00:00:00,No Response,2019-12-30 08:36:00,נציבות שירות המדינה,2020-01-05 14:19:11,Justified,6.0,Treatment Completed,Unspecified,Unspecified,2019,12,35,1
168,1/20,Email,2019-12-02 00:00:00,No Response,2020-01-05 08:42:00,רשות התחרות,2020-02-03 11:22:57,Unjustified,29.0,Treatment Completed,Unspecified,Unspecified,2020,1,34,0
169,2/20,Email,2019-11-29 00:00:00,No Response,2020-01-05 09:19:00,משטרת ישראל,2020-02-19 09:48:40,Justified,45.0,Treatment Completed,Unspecified,Unspecified,2020,1,37,1
170,3/20,Online Form,2019-07-23 00:00:00,No Response,2020-01-07 00:00:00,משטרת ישראל,2020-02-03 11:40:21,Justified,27.0,Treatment Completed,Unspecified,Unspecified,2020,1,168,1
171,5/20,Online Form,2019-12-05 00:00:00,No Response,2020-01-07 00:00:00,משרד הפנים,2020-05-21 10:32:07,Justified,135.0,Treatment Completed,Unspecified,Unspecified,2020,1,33,1
172,4/20,Online Form,2019-07-23 00:00:00,No Response,2020-01-07 00:00:00,משטרת ישראל,2020-01-08 09:07:03,Treatment Discontinued,1.0,Treatment Completed,Unspecified,Unspecified,2020,1,168,0
173,6/20,Email,2019-11-30 00:00:00,No Response,2020-01-08 10:04:00,משטרת ישראל,2020-02-19 10:01:53,Justified,41.0,Treatment Completed,Unspecified,Unspecified,2020,1,39,1
174,7/20,Email,2019-11-06 00:00:00,No Response,2020-01-12 08:02:00,המשרד להגנת הסביבה,2020-01-13 14:27:26,Treatment Discontinued,1.0,Treatment Completed,Unspecified,Unspecified,2020,1,67,0
175,9/20,Online Form,2019-12-02 00:00:00,Unknown,2020-01-13 00:00:00,משרד האוצר,2020-01-14 09:50:14,Treatment Discontinued,1.0,Treatment Completed,Unspecified,Unspecified,2020,1,42,0
176,10/20,Email,2019-12-07 00:00:00,No Response,2020-01-13 15:19:00,משטרת ישראל,2020-02-19 10:09:11,Justified,36.0,Treatment Completed,Unspecified,Unspecified,2020,1,37,1
177,11/20,Email,2019-12-09 00:00:00,No Response,2020-01-13 15:43:00,משטרת ישראל,2020-02-19 10:13:13,Justified,36.0,Treatment Completed,Unspecified,Unspecified,2020,1,35,1
178,12/20,Online Form,2019-12-02 00:00:00,Lack of Justification,2020-01-14 00:00:00,משרד האוצר,2020-01-14 09:44:53,Treatment Discontinued,0.0,Treatment Completed,Unspecified,Unspecified,2020,1,43,0
179,16/20,Online Form,2019-12-15 00:00:00,No Response,2020-01-15 00:00:00,משרד החינוך,2020-01-26 10:18:13,Justified,11.0,Treatment Completed,Unspecified,Unspecified,2020,1,31,1
180,19/20,Online Form,2019-11-25 00:00:00,No Response,2020-01-15 00:00:00,רשות שוק ההון הביטוח והחיסכון,2020-01-30 11:56:17,Justified,15.0,Treatment Completed,Unspecified,Unspecified,2020,1,51,1
181,18/20,Online Form,2019-11-10 00:00:00,No Response,2020-01-15 00:00:00,צבא הגנה לישראל,2020-02-26 12:03:11,Justified,42.0,Treatment Completed,Unspecified,Unspecified,2020,1,66,1
182,20/20,Online Form,2020-01-01 00:00:00,Fees,2020-01-15 00:00:00,משרד הפנים,2020-01-21 11:22:34,Unjustified,6.0,Treatment Completed,Unspecified,Unspecified,2020,1,14,0
183,13/20,Email,2019-11-27 00:00:00,No Response,2020-01-15 09:30:00,משרד החינוך,2020-02-09 12:02:16,Unjustified,25.0,Treatment Completed,Unspecified,Unspecified,2020,1,49,0
184,14/20,Email,2019-10-16 00:00:00,No Response,2020-01-15 10:25:00,צבא הגנה לישראל,2020-02-10 13:12:36,Justified,26.0,Treatment Completed,Unspecified,Unspecified,2020,1,91,1
185,15/20,Email,2019-12-10 00:00:00,No Response,2020-01-15 10:55:00,משרד הפנים,2020-05-12 10:11:28,Justified,117.0,Treatment Completed,Unspecified,Unspecified,2020,1,36,1
186,17/20,Email,2019-10-20 00:00:00,No Response,2020-01-15 14:51:00,משרד הבריאות,2020-03-05 13:14:32,Treatment Discontinued,49.0,Treatment Completed,Unspecified,Unspecified,2020,1,87,0
187,21/20,Email,2019-10-03 00:00:00,No Response,2020-01-19 07:51:00,משרד החקלאות ופיתוח הכפר,2020-02-09 10:41:08,Justified,21.0,Treatment Completed,Unspecified,Unspecified,2020,1,108,1
188,22/20,Online Form,2019-11-17 00:00:00,No Response,2020-01-21 00:00:00,צבא הגנה לישראל,2020-06-01 11:32:15,Justified,132.0,Treatment Completed,Unspecified,Unspecified,2020,1,65,1
189,23/20,Online Form,2019-12-02 00:00:00,No Response,2020-01-21 00:00:00,רשות התחרות,2020-01-22 10:39:12,Treatment Discontinued,1.0,Treatment Completed,Unspecified,Unspecified,2020,1,50,0
190,24/20,Email,2019-08-15 00:00:00,No Response,2020-01-26 16:00:00,משטרת ישראל,2020-05-27 08:54:13,Justified,121.0,Treatment Completed,Unspecified,Unspecified,2020,1,164,1
191,25/20,Email,2019-11-18 00:00:00,No Response,2020-01-27 14:39:00,משטרת ישראל,2020-02-19 10:16:57,Justified,22.0,Treatment Completed,Unspecified,Unspecified,2020,1,70,1
192,27/20,Online Form,2020-01-01 00:00:00,No Response,2020-02-02 00:00:00,רשות האוכלוסין וההגירה,2020-02-17 11:48:45,Unjustified,15.0,Treatment Completed,Unspecified,Unspecified,2020,2,32,0
193,28/20,Online Form,2020-02-04 00:00:00,Lack of Justification,2020-02-04 00:00:00,מרכז רפואי פוריה,2020-02-04 11:12:59,Treatment Discontinued,0.0,Treatment Completed,Unspecified,Unspecified,2020,2,0,0
194,29/20,Online Form,2019-12-09 00:00:00,No Response,2020-02-04 00:00:00,בית חולים וולפסון,2020-02-06 08:41:28,Treatment Discontinued,2.0,Treatment Completed,Unspecified,Unspecified,2020,2,57,0
195,30/20,Online Form,2020-02-04 00:00:00,Fees,2020-02-04 00:00:00,בית חולים איכילוב,2020-02-06 08:42:46,Treatment Discontinued,2.0,Treatment Completed,Unspecified,Unspecified,2020,2,0,0
196,31/20,Online Form,2020-02-04 00:00:00,Unknown,2020-02-04 00:00:00,בית חולים איכילוב,2020-02-06 08:44:13,Treatment Discontinued,2.0,Treatment Completed,Unspecified,Unspecified,2020,2,0,0
197,32/20,Online Form,2019-06-02 00:00:00,Unknown,2020-02-05 00:00:00,המשרד להגנת הסביבה,2020-07-29 10:00:15,Partially Justified,175.0,Treatment Completed,Unspecified,Unspecified,2020,2,248,0
198,33/20,Online Form,2019-05-30 00:00:00,No Response,2020-02-06 00:00:00,משרד החקלאות ופיתוח הכפר,2020-06-08 09:05:31,Justified,123.0,Treatment Completed,Unspecified,Unspecified,2020,2,252,1
199,35/20,Online Form,2019-11-24 00:00:00,No Response,2020-02-10 00:00:00,המשרד לביטחון הפנים,2020-03-05 10:11:56,Justified,24.0,Treatment Completed,Unspecified,Unspecified,2020,2,78,1
200,37/20,Online Form,2019-12-02 00:00:00,No Response,2020-02-10 00:00:00,משרד האוצר,2020-03-11 10:28:22,Justified,30.0,Treatment Completed,Unspecified,Unspecified,2020,2,70,1
201,36/20,Email,2020-01-06 00:00:00,No Response,2020-02-10 13:53:00,משטרת ישראל,2020-02-20 12:28:58,Treatment Discontinued,9.0,Treatment Completed,Unspecified,Unspecified,2020,2,35,0
202,39/20,Online Form,2019-12-19 00:00:00,No Response,2020-02-12 00:00:00,בית חולים איכילוב,2020-05-24 11:42:55,Justified,102.0,Treatment Completed,Unspecified,Unspecified,2020,2,55,1
203,40/20,Online Form,2019-12-15 00:00:00,No Response,2020-02-14 00:00:00,רשות שוק ההון הביטוח והחיסכון,2020-02-26 12:20:19,Justified,12.0,Treatment Completed,Unspecified,Unspecified,2020,2,61,1
204,42/20,Online Form,2019-09-17 00:00:00,No Response,2020-02-20 00:00:00,משרד האוצר,2020-03-11 15:47:42,Justified,20.0,Treatment Completed,Unspecified,Unspecified,2020,2,156,1
205,44/20,Online Form,2018-04-16 00:00:00,No Response,2020-02-23 00:00:00,המשרד להגנת הסביבה,2020-07-09 10:40:55,Justified,137.0,Treatment Completed,Unspecified,Unspecified,2020,2,678,1
206,45/20,Email,2020-01-01 00:00:00,Fees,2020-02-24 08:22:00,משרד הפנים,2020-06-16 16:42:11,Treatment Discontinued,113.0,Treatment Completed,Unspecified,Unspecified,2020,2,54,0
207,46/20,Email,2019-11-18 00:00:00,No Response,2020-02-24 09:33:00,משטרת ישראל,2020-02-26 10:09:38,Unjustified,2.0,Treatment Completed,Unspecified,Unspecified,2020,2,98,0
208,47/20,Online Form,2019-01-04 00:00:00,No Response,2020-02-25 00:00:00,משרד האוצר,2020-08-02 09:23:15,Justified,159.0,Treatment Completed,Unspecified,Unspecified,2020,2,417,1
209,49/20,Online Form,2019-07-23 00:00:00,No Response,2020-02-26 00:00:00,משטרת ישראל,2020-03-09 12:13:01,Treatment Discontinued,12.0,Treatment Completed,Unspecified,Unspecified,2020,2,218,0
210,48/20,Online Form,2019-11-11 00:00:00,No Response,2020-02-26 00:00:00,שירות בתי הסוהר,2020-05-11 11:17:57,Unjustified,75.0,Treatment Completed,Unspecified,Unspecified,2020,2,107,0
211,50/20,Online Form,2020-01-26 00:00:00,No Response,2020-02-27 00:00:00,משרד החינוך,2020-05-11 12:10:33,Justified,74.0,Treatment Completed,Unspecified,Unspecified,2020,2,32,1
212,55/20,Online Form,2020-01-31 00:00:00,No Response,2020-03-03 00:00:00,משרד הבריאות,2020-08-18 11:56:11,Justified,168.0,Treatment Completed,Unspecified,Unspecified,2020,3,32,1
213,54/20,Online Form,2020-01-30 00:00:00,No Response,2020-03-03 00:00:00,משרד המשפטים,2020-03-05 12:08:03,Unjustified,2.0,Treatment Completed,Unspecified,Unspecified,2020,3,33,0
214,56/20,Online Form,2019-12-02 00:00:00,Administrative Guidelines,2020-03-03 00:00:00,רשות התחרות,2020-05-20 10:33:56,Unjustified,78.0,Treatment Completed,Unspecified,Unspecified,2020,3,92,0
215,57/20,Online Form,2019-08-18 00:00:00,No Response,2020-03-04 00:00:00,צבא הגנה לישראל,2020-08-05 07:53:29,Justified,154.0,Treatment Completed,Unspecified,Unspecified,2020,3,199,1
216,59/20,Email,2019-12-08 00:00:00,No Response,2020-03-05 12:11:00,משטרת ישראל,2020-05-27 09:03:39,Unjustified,82.0,Treatment Completed,Unspecified,Unspecified,2020,3,88,0
217,61/20,Email,2019-10-23 00:00:00,No Response,2020-03-05 16:22:00,מנהל אזרחי אזור יהודה ושומרון,2020-05-10 11:08:22,Justified,65.0,Treatment Completed,Unspecified,Unspecified,2020,3,134,1
218,62/20,Online Form,2018-12-24 00:00:00,No Response,2020-03-07 00:00:00,המשרד להגנת הסביבה,2020-08-18 12:10:38,Justified,164.0,Treatment Completed,Unspecified,Unspecified,2020,3,439,1
219,64/20,Email,2020-01-28 00:00:00,No Response,2020-03-09 07:26:00,האפוטרופוס הכללי והכונס הרשמי,2020-06-07 13:58:04,Justified,90.0,Treatment Completed,Unspecified,Unspecified,2020,3,41,1
220,67/20,Online Form,2019-01-15 00:00:00,No Response,2020-03-24 00:00:00,צבא הגנה לישראל,2020-05-05 07:52:05,Treatment Discontinued,42.0,Treatment Completed,Unspecified,Unspecified,2020,3,434,0
221,66/20,Online Form,2019-01-15 00:00:00,No Response,2020-03-24 00:00:00,צבא הגנה לישראל,2020-05-07 10:29:04,Treatment Discontinued,44.0,Treatment Completed,Unspecified,Unspecified,2020,3,434,0
222,69/20,Online Form,2020-01-01 00:00:00,No Response,2020-03-25 00:00:00,משרד החקלאות ופיתוח הכפר,2020-06-08 08:49:05,Justified,75.0,Treatment Completed,Unspecified,Unspecified,2020,3,84,1
223,79/20,Email,2019-11-03 00:00:00,No Response,2020-05-06 09:59:00,מתאם פעולות הממשלה בשטחים (מתפש),2020-07-09 11:36:07,Justified,64.0,Treatment Completed,Unspecified,Unspecified,2020,5,185,1
224,80/20,Email,2019-12-05 00:00:00,No Response,2020-05-07 10:52:00,הרבנות הראשית לישראל,2020-05-20 12:41:05,Unjustified,13.0,Treatment Completed,Unspecified,Unspecified,2020,5,154,0
225,81/20,Email,2020-04-05 00:00:00,No Response,2020-05-07 11:16:00,משרד האוצר,2020-08-11 11:28:25,Justified,96.0,Treatment Completed,Unspecified,Unspecified,2020,5,32,1
