_id,מספר התלונה,תאריך הגשת הבקשה למידע,תאריך קבלת תלונה,ערוץ קבלת תלונה,סוג המתלונן,שם המתלונן,נושא התלונה,שם הנילון,נושא בקשת חופש מידע,סטטוס,החלטה,תאריך סיום טיפול,מספר ימי טיפול
475, 116/22,2021-12-29 00:00:00,2022-03-22 00:00:00,טופס מקוון,עמותה,פורום דו קיום בנגב לשוויון אזרחי,אי מתן מענה,המשרד לביטחון לאומי,"מידע על הריסות בתים, פינויים וחריש בנגב לשנת 2021",סיום טיפול,מוצדק,29/03/2022,7
476, 371/22,2022-02-08 00:00:00,2022-04-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,עיון בתיק אישי - בית הספר שלנו תל מונד,סיום טיפול,מוצדק,18/12/2022,105
477, 423/23,2023-01-29 00:00:00,2023-09-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הביטחון,מענים חלקיים בלבד לשתי בקשות מידע,סיום טיפול,מוצדק חלקית,13/12/2023,78
478, 124/24,2023-07-08 00:00:00,2024-04-17 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח בישראל,אי מתן מענה,משרד המשפטים,"פילוח תלונות מחש""",סיום טיפול,מוצדק,02/05/2024,15
479, 60/24,2024-01-25 00:00:00,2024-02-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,סמכות ועדה פריטטית בנושא התמריצים למורים ,סיום טיפול,בלתי מוצדק,02/05/2024,76
480, 198/22,2022-06-01 00:00:00,2022-09-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""","חכירת רכבים מצהל""",סיום טיפול,מוצדק,02/08/2022,85
481, 2/23,2022-05-09 00:00:00,2023-01-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""",מתן מענה לא ענייני וחלקי ביותר,סיום טיפול,בלתי מוצדק,04/01/2023,3
482, 47/23,2022-11-25 00:00:00,2023-08-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,קבלת מידע,סיום טיפול,מוצדק,31/05/2023,112
483, 444/22,2022-08-05 00:00:00,2022-11-23 00:00:00,טופס מקוון,עמותה,הפורום לישראל ירוקה,אי מתן מענה,המשרד להגנת הסביבה,מפעלי תעשייה כבידה בישראל,סיום טיפול,מוצדק,24/05/2023,182
484, 314/22,2022-06-20 00:00:00,2022-07-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות המסים בישראל,החזר כספים בגין הפקדות כספי מעסיק מקופות שונות,סיום טיפול,בלתי מוצדק,07/08/2022,10
485, 463/23,2023-05-31 00:00:00,2023-05-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,אי מתן מענה סמוכין 373500 תאריך 31.05.23 ,סיום טיפול,בלתי מוצדק,14/12/2023,39
486, 367/23,2023-07-16 00:00:00,2023-08-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מינהל התכנון,בקשות ותכניות,סיום טיפול,בלתי מוצדק,04/09/2023,11
487, 68/23,2022-12-18 00:00:00,2023-02-26 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,"צהל""",פרסום כתבות נגד משרתי ופורשי צבא הקבע,סיום טיפול,מוצדק,08/06/2023,102
488, 413/22,2022-06-16 00:00:00,2022-10-23 00:00:00,טופס מקוון,עמותה,ניצנים,אי מתן מענה,"צהל""",אי מתן מענה לבקשת מידע ,סיום טיפול,מוצדק,03/05/2023,192
489, 25/23,2022-11-12 00:00:00,2023-01-19 00:00:00,טופס מקוון,עמותה,"אלוט""",אי מתן מענה,משרד החינוך,אי מתן מענה לבקשת חופש מידע מיום 11.12.22 ,סיום טיפול,מוצדק,15/02/2023,27
490, 7/22,2022-04-01 00:00:00,2022-04-01 00:00:00,טופס מקוון,אזרח,,דין וחשבון שנתי,משרד התיירות,,סיום טיפול,בלתי מוצדק,10/03/2022,65
491, 219/22,2022-02-16 00:00:00,2022-05-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות המים והביוב,מידע על כמויות מים והיכן נצרכו,סיום טיפול,בלתי מוצדק,16/06/2022,29
492, 117/24,2023-06-12 00:00:00,2024-11-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מסמכים  שונים,סיום טיפול,מוצדק,05/06/2024,55
493, 347/22,2021-01-11 00:00:00,2022-08-21 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התקשורת,בקשה הנוגעת לחווד אודות פטריק דרהי,סיום טיפול,מוצדק,14/09/2022,24
494, 223/22,2022-02-27 00:00:00,2022-05-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,"אי כיבוד הבקשה, גרירת רגליים ופעולה ללא סמכות",סיום טיפול,בלתי מוצדק,25/05/2022,3
495, 245/22,2022-02-25 00:00:00,2022-06-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""","מכות חום, חשיפה לקרינה וכמות בשר",סיום טיפול,מוצדק,11/08/2022,66
496, 239/22,2022-03-28 00:00:00,2022-02-06 00:00:00,טופס מקוון,עמותה,לביא,אי מתן מענה,"צהל""",צווי הרחקה מנהליים,סיום טיפול,מוצדק,01/08/2022,60
497, 485/22,2022-08-11 00:00:00,2022-12-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות האוכלוסין וההגירה,אי התייחסות לבקשה.,סיום טיפול,בלתי מוצדק,28/12/2022,8
498, 54/22,2022-11-01 00:00:00,2022-12-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,חופש המידע בתי דין רבניים מקומות מושב דיינים,סיום טיפול,מוצדק,28/04/2022,75
499, 175/22,2022-03-13 00:00:00,2022-04-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,מסמך הנחיות של יועץ הבטיחות מטעם משרד החינוך,סיום טיפול,מוצדק,28/04/2022,3
500, 222/24,2024-03-14 00:00:00,2024-06-25 00:00:00,טופס מקוון,עמותה,המרכז להעצמת האזרח,אי מתן מענה,משרד הביטחון,מוניטור 1226 ו-3741,סיום טיפול,מוצדק,30/07/2024,35
501, 481/22,2022-04-07 00:00:00,2022-12-15 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח,אי מתן מענה,משרד המשפטים,"פילוח נתוני מחש""",סיום טיפול,מוצדק,22/12/2022,7
502, 52/22,2021-06-02 00:00:00,2022-10-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הפנים,"כתבי מינוי נוספים של עוד בנימין זלמנוביץ""",סיום טיפול,בלתי מוצדק,29/03/2022,47
503, 206/23,2023-04-14 00:00:00,2023-05-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,אי מתן מענה בקשת 14.04.23 סמוכין 366866 ,סיום טיפול,בלתי מוצדק,12/07/2023,45
504, 107/23,2023-05-01 00:00:00,2023-10-03 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,"צהל""","נתונים אודות בקשות חופש מידע המוגשות לצהל""",סיום טיפול,מוצדק,29/03/2023,19
505, 90/22,2022-08-01 00:00:00,2022-07-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פירוט חלוקת תמיכות,סיום טיפול,מוצדק חלקית,12/04/2022,36
506, 1/24,2023-10-09 00:00:00,2024-01-01 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד העבודה,דוחות הדרכות בטיחות,סיום טיפול,מוצדק,04/01/2024,3
507, 461/22,2022-01-08 00:00:00,2022-11-30 00:00:00,טופס מקוון,עמותה,עמותת עמרם,אי מתן מענה,משרד הבריאות,מינויה של פרופ' שורץ לבחון חומר בנושא פרשת ילדי תימן,סיום טיפול,מוצדק,20/04/2023,141
508, 202/24,2024-03-16 00:00:00,2024-11-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"נוהל קריטריונים הקמת ועדת בדיקה רשמית, רשלנות רפואית",סיום טיפול,מוצדק,30/07/2024,49
509, 26/24,2024-01-25 00:00:00,2024-01-25 00:00:00,טופס מקוון,עמותה,"מרכז רקמן, אוניברסיטת בר אילן",אי מתן מענה,משרד המשפטים,מידע לשנתון סטטיסטי,סיום טיפול,בלתי מוצדק,08/02/2024,14
510, 352/22,2022-05-31 00:00:00,2022-08-22 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",מדיניות גיוס בני ישיבות ציונית,סיום טיפול,מוצדק,26/01/2023,157
511, 262/24,2023-10-05 00:00:00,2024-07-15 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,אנטיביוטיקה מסוג CEFTRIAXONE,בטיפול,,,29
512, 421/23,2023-05-24 00:00:00,2023-09-26 00:00:00,טופס מקוון,עמותה,התנועה לחופש המידע,אי מתן מענה,משרד המשפטים,"תלונות למחש""",סיום טיפול,מוצדק חלקית,06/12/2023,71
513, 136/23,2022-12-15 00:00:00,2023-02-04 00:00:00,טופס מקוון,עמותה,החברה להגנת הטבע,אי מתן מענה,משרד החקלאות ופיתוח הכפר,רישיונות או היתרים לדיג חריג,סיום טיפול,מוצדק,10/07/2023,99
514, 388/23,2023-05-18 00:00:00,2023-08-29 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,תקנות זכויות התלמיד,סיום טיפול,מוצדק,21/09/2023,23
515, 119/23,2023-07-02 00:00:00,2023-03-16 00:00:00,טופס מקוון,עמותה,"אלוט""",אי מתן מענה,משרד החינוך,נתונים לגבי מחסור בעובדי הוראה,סיום טיפול,מוצדק,07/06/2023,83
516, 305/23,2023-06-03 00:00:00,2023-01-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,הועדה לשינוי מין,סיום טיפול,מוצדק,01/01/2024,153
517, 438/22,2022-03-10 00:00:00,2022-11-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,בקשת חופש מידע,סיום טיפול,מוצדק,24/05/2023,185
518, 2/24,2023-05-24 00:00:00,2024-01-01 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,מכונות אקמו,סיום טיפול,מוצדק,29/02/2024,59
519, 228/23,2023-03-28 00:00:00,2023-06-15 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התקשורת,רשימת בתי מלון,סיום טיפול,מוצדק,27/06/2023,12
520, 162/24,2023-11-24 00:00:00,2024-05-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה ! במועד ! סמוכין 396840 תאריך 24.11.23,סיום טיפול,בלתי מוצדק,13/05/2024,0
521, 185/23,2023-06-02 00:00:00,2023-11-05 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,רשות האכיפה והגבייה,נתונים מהוצאה לפועל והמרכז לגביית קנסות,סיום טיפול,מוצדק,08/11/2023,181
522, 137/24,2023-10-07 00:00:00,2024-02-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,מידע דחוף,סיום טיפול,בלתי מוצדק,25/07/2024,84
523, 174/22,2022-08-02 00:00:00,2022-04-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,"דוח ביקורת כספית בישיבה תיכונית גבעת שמואל""",סיום טיפול,בלתי מוצדק,13/06/2022,49
524, 310/22,2022-05-17 00:00:00,2022-07-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,בקשת חוק חופש המידע,סיום טיפול,בלתי מוצדק,28/07/2022,2
525, 42/22,2021-11-24 00:00:00,2022-03-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""",נתונים על משרתות מילואים,סיום טיפול,מוצדק,26/05/2022,112
526, 268/22,2022-10-03 00:00:00,2022-06-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"אישור ו/או קבלת רישיון מוסד מכורים לחיים""""",סיום טיפול,מוצדק,12/07/2022,26
527, 46/24,2023-03-12 00:00:00,2024-02-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אי מתן מענה ! במועד ! סמוכין 397777 03.12.23 ,סיום טיפול,בלתי מוצדק,29/02/2024,27
528, 184/23,2023-04-02 00:00:00,2023-11-05 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד המשפטים,פרוטוקולים לשכת היועמש,סיום טיפול,בלתי מוצדק,11/05/2023,0
529, 9/23,2022-08-23 00:00:00,2023-08-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אי מענה לקבלת תקנות ,סיום טיפול,מוצדק,05/03/2023,56
530, 392/23,2023-06-27 00:00:00,2023-01-09 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,מרכז רפואי שיבא,נורות פוטותרפיה,סיום טיפול,מוצדק,10/01/2024,131
531, 239/24,2024-05-28 00:00:00,2024-08-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות הארצית לכבאות והצלה,"בקשה לדוח כיבוי חוקר דליקות על שריפה בין 15-14 יולי 2023 בבניין ברחוב יוסף הגידם 13 חיפה""",סיום טיפול,מוצדק,06/08/2024,29
532, 6/24,2023-03-12 00:00:00,2024-05-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,אי מתן מענה לבקשת מידע סמוכין 397772 03.12.23 ,סיום טיפול,בלתי מוצדק,29/01/2024,25
533, 39/22,2021-05-09 00:00:00,2022-01-31 00:00:00,טופס מקוון,עמותה,כושרות,אי מתן מענה,משרד הבריאות,מערך הפיקוח על המזון ,סיום טיפול,מוצדק,28/03/2022,56
534, 420/23,2023-07-16 00:00:00,2023-09-26 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד החקלאות ופיתוח הכפר,ביקורות בחזיריות,סיום טיפול,מוצדק,06/11/2023,41
535, 429/22,2022-04-13 00:00:00,2022-11-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד העבודה,שיתוף פעולה בין מנהל הבטיחות בזרוע ויחידת פלס,סיום טיפול,מוצדק,03/05/2023,171
536, 269/24,2024-05-18 00:00:00,2024-07-17 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד התחבורה והבטיחות בדרכים,פרוטוקולים שונים,בטיפול,,,28
537, 53/24,2023-09-22 00:00:00,2024-11-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"מספר בוגרים ישראלים מחול""",סיום טיפול,מוצדק,04/04/2024,53
538, 354/22,2021-10-28 00:00:00,2022-08-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,השלמת נתונים - יוצאי אתיופיה,סיום טיפול,בלתי מוצדק,08/09/2022,17
539, 311/22,2022-01-31 00:00:00,2022-07-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות בגדה המערבית,סיום טיפול,מוצדק,18/08/2022,22
540, 636/21,2021-08-19 00:00:00,2021-12-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,שאלות לגבי בידוד נגיף הקורונה,סיום טיפול,מוצדק,28/03/2022,91
541, 26/23,2022-11-22 00:00:00,2023-01-22 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד הבינוי והשיכון,בקשה לקבלת אסמכתאות להעברת כספים,סיום טיפול,מוצדק,25/04/2023,94
542, 28/24,2023-07-20 00:00:00,2024-01-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,הפעלת סמכותו של מנהל המחוז,סיום טיפול,מוצדק,11/04/2024,75
543, 108/23,2022-11-21 00:00:00,2023-12-03 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",הליכי גיוס לבעלי קושי נפשי,סיום טיפול,מוצדק,20/06/2023,100
544, 340/22,2022-01-26 00:00:00,2022-08-15 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד התחבורה והבטיחות בדרכים,העתק ממסמכי מכרז,סיום טיפול,מוצדק,26/01/2023,164
545, 395/22,2022-11-05 00:00:00,2022-09-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,קבלת מידע בנושא תאי לחץ גבוה ומתון,סיום טיפול,מוצדק,18/01/2023,119
546, 5/24,2023-08-24 00:00:00,2024-04-01 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",חוסר בהנמקה,רשות האוכלוסין וההגירה,העתק ממרשם האוכלוסין,סיום טיפול,מוצדק,25/01/2024,21
547, 63/24,2022-11-14 00:00:00,2024-02-20 00:00:00,טופס מקוון,עמותה,מדעת - למען בריאות מושכלת,אי מתן מענה,משרד הבריאות,כיסוי חיסוני בישראל ומדיניות הסברה,סיום טיפול,מוצדק,18/04/2024,58
548, 242/24,2024-01-05 00:00:00,2024-09-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,נהלי משרד התיירות,בטיפול,,,35
549, 261/24,2024-10-04 00:00:00,2024-07-15 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,משלוח מזון מבית עסק לבית הצרכן,בטיפול,,,29
550, 129/23,2023-02-28 00:00:00,2023-03-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אי מתן מענה לבקשתי לרשומות מהפסיכיאטר המחוזי מרכז,סיום טיפול,מוצדק,07/06/2023,71
551, 426/23,2023-07-29 00:00:00,2023-03-10 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",החלטת ממשלה 682,סיום טיפול,מוצדק,15/04/2024,195
552, 288/22,2022-04-24 00:00:00,2022-04-07 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד הבינוי והשיכון,הטלת קנסות על החברות המשכנות ותלונות הציבור,סיום טיפול,בלתי מוצדק,10/08/2022,37
553, 249/22,2022-02-24 00:00:00,2022-08-06 00:00:00,טופס מקוון,עמותה,לביא,אי מתן מענה,שירות בתי הסוהר,נתוני אסירים בטחוניים 2021,סיום טיפול,מוצדק,23/08/2022,76
554, 274/23,2022-11-22 00:00:00,2023-07-14 00:00:00,טופס מקוון,עמותה,אזרחים למען אוויר נקי,אי מתן מענה,המשרד להגנת הסביבה,תשלום למודיע על השלכת פסלת שלא כדין,סיום טיפול,מוצדק,01/08/2023,18
555, 269/22,2022-04-24 00:00:00,2022-06-16 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד הרווחה והשירותים החברתיים,מידע אודות הוסטל נחלים ברכסים,סיום טיפול,בלתי מוצדק,09/04/2024,663
556, 227/23,2023-09-04 00:00:00,2023-06-15 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",בני מהגרים בלימודים,סיום טיפול,מוצדק,08/01/2024,207
557, 197/22,2022-06-01 00:00:00,2022-09-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""","תנאי הזכאות לקבלת גמול השתלמות (גמוש) לקצינים בשירות קבע""",סיום טיפול,מוצדק,02/08/2022,85
558, 257/22,2022-09-02 00:00:00,2022-06-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,בקשה לקבלת סקרי קרקע בתחנת דלק,סיום טיפול,מוצדק,11/09/2022,89
559, 320/23,2023-03-04 00:00:00,2023-10-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,קבלת מידע מה עלה ,סיום טיפול,בלתי מוצדק,24/08/2023,14
560, 101/24,2024-02-26 00:00:00,2024-03-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,כתבי אישום בחתך דת,סיום טיפול,בלתי מוצדק,03/04/2024,6
561, 271/22,2021-01-12 00:00:00,2022-06-19 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הבריאות,"החלטות ונהלים בנושא שינוי בשבן""",סיום טיפול,מוצדק,11/09/2022,84
562, 418/23,2023-08-20 00:00:00,2023-09-21 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,תנאי עבודה,סיום טיפול,בלתי מוצדק,14/12/2023,84
563, 428/22,2022-10-09 00:00:00,2022-11-13 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד הפנים,חיוב אגרת שמירה בניגוד לתקנון וגם ביח' משנה,סיום טיפול,בלתי מוצדק,22/12/2022,39
564, 102/22,2021-12-13 00:00:00,2022-03-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,כתובת המוסד בית התלמוד שערי תורה,סיום טיפול,בלתי מוצדק,11/04/2022,29
565, 232/22,2022-03-28 00:00:00,2022-05-30 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,נהלי פטורים טוענים רבניים,סיום טיפול,מוצדק,18/07/2022,49
566, 209/23,2023-03-01 00:00:00,2023-05-30 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,משרד המשפטים,"נהלים ומדיניות- פמי""",סיום טיפול,מוצדק,12/07/2023,43
567, 260/24,2024-02-16 00:00:00,2024-07-15 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,"צהל""","פילוח הפיקוד הבכיר בצהל לפי חינוך""",סיום טיפול,מוצדק,11/08/2024,27
568, 183/22,2022-04-26 00:00:00,2022-04-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי הדין הרבניים,עובד ודיינים שהושהו בסוף 2016,סיום טיפול,בלתי מוצדק,26/05/2022,30
569, 238/22,2022-01-19 00:00:00,2022-02-06 00:00:00,טופס מקוון,עמותה,לביא,אי מתן מענה,"צהל""","ענישה במקרי עבירות בטחון בבימש הצבאיים באיו""ש""",סיום טיפול,מוצדק,04/08/2022,63
570, 414/22,2022-10-05 00:00:00,2022-10-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,לידות שקטות והפלות,סיום טיפול,מוצדק,04/05/2023,193
571, 59/24,2024-02-14 00:00:00,2024-02-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,תחבורה ציבורית,סיום טיפול,מוצדק,06/05/2024,82
572, 11/23,2022-11-22 00:00:00,2023-10-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הכלכלה,אי קבלת מענה רשמי ,סיום טיפול,בלתי מוצדק,11/01/2023,1
573, 66/24,2023-04-18 00:00:00,2024-02-25 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,מכשיר INVOS,סיום טיפול,מוצדק,02/05/2024,67
574, 273/22,2022-05-17 00:00:00,2022-06-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,שומת מקרקעין בגוש 7079 חלקה 12,סיום טיפול,בלתי מוצדק,27/06/2022,7
575, 121/24,2023-06-08 00:00:00,2024-04-15 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה !במועד! סמוכין 383730 תאריך 06.08.23 ,סיום טיפול,בלתי מוצדק,17/04/2024,2
576, 289/24,2023-07-29 00:00:00,2024-09-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,חקירות אישי ציבור,בטיפול,,,4
577, 40/22,2021-12-26 00:00:00,2022-01-02 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד העבודה,צווי בטיחות חברת ארקאן,סיום טיפול,מוצדק,26/05/2022,114
578, 238/24,2024-03-25 00:00:00,2024-08-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התקשורת,מדידות כיסוי סלולרי בכביש 31,סיום טיפול,מוצדק,22/07/2024,14
579, 265/22,2021-11-25 00:00:00,2022-06-16 00:00:00,טופס מקוון,עמותה,"אלוט""",אי מתן מענה,משרד החינוך,מיפוי מספר מסגרות ייעודיות ותלמידים עם אוטיזם,סיום טיפול,מוצדק,26/01/2023,225
580, 249/24,2024-02-22 00:00:00,2024-07-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,דיווח תרומות למשרד הבריאות,בטיפול,,,30
581, 38/23,2023-06-01 00:00:00,2023-07-02 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,משרד האוצר,"פעילות משרד האוצר בתקשורת ביחס לשכר, תנאים",סיום טיפול,בלתי מוצדק,08/06/2023,121
582, 632/21,2021-02-09 00:00:00,2021-12-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,שכר רבנים שכר ממונה חשיפה,סיום טיפול,בלתי מוצדק,14/02/2022,52
583, 173/22,2022-03-24 00:00:00,2022-04-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,פנייה 99072,סיום טיפול,בלתי מוצדק,04/05/2022,11
584, 12/23,2022-06-12 00:00:00,2023-10-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הכלכלה,"מתן חסות עובד ציבור על ידי מנכל משרד הכלכלה """,סיום טיפול,בלתי מוצדק,20/02/2023,41
585, 75/24,2023-09-14 00:00:00,2024-05-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,ארגונים מאושרים על ידי שר המשפטים,סיום טיפול,מוצדק,13/03/2024,8
586, 631/21,2021-10-25 00:00:00,2021-12-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,"מסמכי הפרויקט הידוע כמנהטן 15 "" בנתיבות""",סיום טיפול,מוצדק חלקית,07/02/2022,46
587, 71/24,2024-01-31 00:00:00,2024-04-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,מידע-מס' בקשות שלא נענו בצורה תקינה,סיום טיפול,בלתי מוצדק,13/03/2024,9
588, 49/23,2022-11-15 00:00:00,2023-09-02 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח,אי מתן מענה,שירות בתי הסוהר,אסירי עולם,סיום טיפול,מוצדק,29/03/2023,48
589, 23/22,2021-10-20 00:00:00,2022-01-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"רשיונות ללא מגע""""",סיום טיפול,מוצדק,26/05/2022,127
590, 49/22,2022-02-01 00:00:00,2022-08-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מידע בנושאים שונים בנושא קורונה,סיום טיפול,מוצדק,26/05/2022,107
591, 82/22,2021-09-14 00:00:00,2022-01-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,מתן מידע לפי חוק חופש המידע,סיום טיפול,מוצדק,16/03/2022,15
592, 621/21,2021-01-12 00:00:00,2021-12-19 00:00:00,טופס מקוון,אזרח,,אגרות,משטרת ישראל,סימוכין - 100-80-7-1,סיום טיפול,בלתי מוצדק,16/03/2022,87
593, 67/22,2021-12-19 00:00:00,2022-02-20 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,העברת מסמכים ,סיום טיפול,מוצדק,26/05/2022,95
594, 1/23,2022-01-09 00:00:00,2023-01-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""",מתן מענה לא ענייני וחלקי ביותר,סיום טיפול,מוצדק,10/08/2023,221
595, 20/23,2022-11-13 00:00:00,2023-01-15 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,משרד התחבורה והבטיחות בדרכים,ערעור טובין בייבוא אישי,סיום טיפול,מוצדק,31/05/2023,136
